,realestate_existing_n,realestate_existing_p,realestate_existing_a,realestate_new_n,realestate_new_p,realestate_new_a,realestate_stock_n,realestate_stock_p,realestate_stock_a,secondary_existing_n,secondary_existing_p,secondary_existing_a,secondary_new_n,secondary_new_p,secondary_new_a,secondary_stock_n,secondary_stock_p,secondary_stock_a,other_sector_existing_n,other_sector_existing_p,other_sector_existing_a,other_sector_new_n,other_sector_new_p,other_sector_new_a,other_sector_stock_n,other_sector_stock_p,other_sector_stock_a,tertiary_existing_n,tertiary_existing_p,tertiary_existing_a,tertiary_new_n,tertiary_new_p,tertiary_new_a,tertiary_stock_n,tertiary_stock_p,tertiary_stock_a,government_existing_n,government_existing_p,government_existing_a,government_new_n,government_new_p,government_new_a,government_stock_n,government_stock_p,government_stock_a,primary_existing_n,primary_existing_p,primary_existing_a,primary_new_n,primary_new_p,primary_new_a,primary_stock_n,primary_stock_p,primary_stock_a
410608,36.0,4601.2287,19.5195,8.0,20366.966,50.9198,0.0,0.0,0.0,10.0,1387.84,32.505100000000006,16.0,21637.0,127.5699,3.0,506.0,4.1722,0.0,0.0,0.0,3.0,1349.0,8.631499999999999,1.0,0.0,1.5765,9.0,771.9540999999999,2.8983,3.0,641.914,12.519,4.0,0.0,6.6682,4.0,10.93,0.5391,0.0,0.0,0.0,3.0,0.0,10.8513,1.0,7.83,0.3125,0.0,0.0,0.0,0.0,0.0,0.0
410609,379.0,765.1199999999999,9.6805,8.0,25870.78,40.1043,6.0,8342.3596,27.666600000000003,9.0,1127.49,9.9895,15.0,15837.817000000001,123.586053,4.0,1711.0,10.1674,1.0,345.0,5.9121,2.0,969.0,8.0453,0.0,0.0,0.0,6.0,140.99,0.36910000000000004,16.0,11328.806,61.696022,3.0,5678.0825,10.9368,1.0,9.87,0.0438,6.0,0.0,26.879793000000003,0.0,0.0,0.0,1.0,13.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
410610,273.0,861.1465,10.8778,10.0,73350.0,75.188373,8.0,16541.5986,45.691712,8.0,3944.3161,30.0494,34.0,33032.0,196.94752800000003,2.0,593.0,3.4284999999999997,2.0,787.9599,1.536,1.0,317.0,1.8626,0.0,0.0,0.0,8.0,1244.5158000000001,6.2164,13.0,22141.0,69.07841,5.0,302.0263,12.5992,2.0,1470.775,6.3394,2.0,0.0,12.6837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410611,17.0,5.1899999999999995,18.999291,12.0,29963.833799999997,47.510428999999995,3.0,1490.53,6.594399999999999,2.0,3484.54,20.391682,21.0,17448.0,110.669775,2.0,396.0,1.8624,0.0,0.0,0.0,2.0,1189.0,6.1126000000000005,0.0,0.0,0.0,3.0,143.5,0.45489999999999997,5.0,16322.4,31.162722000000002,5.0,608.0,2.2962000000000002,2.0,0.0,3.677429,1.0,0.0,1.5925,1.0,429.0851,2.968921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410612,1.0,291.18,1.191437,18.0,87377.0,91.63789499999999,12.0,49706.42,48.655184,0.0,0.0,0.0,16.0,13295.0,88.275494,3.0,1742.0,9.964279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,414.0,2.362046,0.0,0.0,0.0,9.0,3847.0919999999996,29.381833999999998,5.0,8580.7459,15.895981,5.0,0.0,3.4623000000000004,54.0,925.5822,156.51544399999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410613,2.0,848.6,13.753663,16.0,77455.6691,74.45887,8.0,29792.0,35.819761,0.0,0.0,0.0,39.0,22868.27,126.745337,4.0,6184.26,36.534578,0.0,0.0,0.0,2.0,237.58999999999997,1.354031,0.0,0.0,0.0,2.0,290.96999999999997,1.449074,13.0,27497.713199999995,80.014909,0.0,0.0,0.0,2.0,0.0,2.4862,19.0,4340.2205,53.601949000000005,3.0,741.1522,5.617254,0.0,0.0,0.0,1.0,127.34,0.735877,0.0,0.0,0.0
410614,1.0,0.0,0.424576,40.0,131377.3924,268.329675,3.0,10330.0,6.592145,1.0,0.0,6.1416,19.0,23523.36,121.312459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,743.0,4.160017,0.0,0.0,0.0,2.0,1477.46,9.733628,22.0,1550.0,120.82549900000001,5.0,677.2853,9.593425,2.0,311.065,4.535718,20.0,12909.4059,114.87395699999999,2.0,0.0,7.472628,0.0,0.0,0.0,1.0,1468.8605,9.03055,0.0,0.0,0.0
410615,0.0,0.0,0.0,7.0,44564.0,39.318807,6.0,11105.0,12.943257,16.0,5555.57,132.243219,3.0,8531.0,40.369376,1.0,481.0,2.630586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.83136,8.0,7977.268,45.015778999999995,2.0,0.0,10.5624,9.0,0.0,12.492763000000002,5.0,1988.2087,25.837077,8.0,6067.7531,50.703317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410616,0.0,0.0,0.0,9.0,85437.0,57.201198000000005,8.0,19163.7034,21.615446000000002,5.0,582.56,3.366778,9.0,25664.02,132.772414,4.0,6024.0,11.787174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19889.701599999997,53.853141,2.0,230.2564,1.77056,0.0,0.0,0.0,1.0,1054.0222,13.072353,6.0,2572.3095000000003,23.832585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3290.5798999999997,24.12,1.0,483.23,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12200.4994,80.26700000000001,5.0,4494.12,62.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.896,0.7602,1.0,246.666,5.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
