,cityID,total_n,total_p,total_a,招拍挂_n,招拍挂_p,招拍挂_a,协议出让_n,协议出让_p,协议出让_a,划拨_n,划拨_p,划拨_a,其他_n,其他_p,其他_a,租赁_n,租赁_p,租赁_a,existing_n,existing_p,existing_a,new_n,new_p,new_a,stock_n,stock_p,stock_a
130603,保定市,7.0,177.1734,2.8493000000000004,2.0,30.8554,0.11480000000000001,5.0,146.318,2.7344999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,146.318,2.7344999999999997,2.0,30.8554,0.11480000000000001,0.0,0.0,0.0
130604,保定市,139.0,112813.73009999999,258.96999999999997,20.0,12705.6252,40.63110000000001,119.0,100108.10489999999,218.33890000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,112813.7301,257.7247,1.0,0.0,1.2453,0.0,0.0,0.0
130605,保定市,148.0,17600.285099999997,167.56689999999998,27.0,2041.476,29.0372,121.0,15558.8091,138.5297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,17489.4251,164.79810000000003,3.0,110.86,2.7688,0.0,0.0,0.0
130606,保定市,126.0,43294.86089999999,232.17549999999994,22.0,13799.712,46.368399999999994,103.0,29488.108900000003,185.71309999999997,0.0,0.0,0.0,1.0,7.04,0.094,0.0,0.0,0.0,96.0,16321.299899999998,139.2842,30.0,26973.560999999998,92.89130000000002,0.0,0.0,0.0
130607,保定市,1434.0,156777.42580000003,1475.23553,46.0,104492.64629999998,116.75108,1383.0,52284.779500000004,1090.4852499999997,5.0,0.0,267.9992,0.0,0.0,0.0,0.0,0.0,0.0,111.0,89826.3708,178.96877999999998,1322.0,65361.395000000004,1293.56145,1.0,1589.66,2.7053
130608,保定市,89.0,226900.0386,253.92420999999996,46.0,202357.43630000003,202.91633999999993,39.0,24542.6023,36.52187000000001,4.0,0.0,14.486,0.0,0.0,0.0,0.0,0.0,0.0,73.0,176658.03819999998,206.92790999999997,12.0,45515.0204,40.0199,4.0,4726.98,6.9764
130609,保定市,88.0,194056.85259999998,313.56747000000007,45.0,172513.9591,259.08168,30.0,6417.094500000001,24.41144,13.0,15125.799,30.07435,0.0,0.0,0.0,0.0,0.0,0.0,56.0,139074.5748,158.83669,26.0,32681.2898,96.47540000000001,6.0,22300.987999999998,58.25538
130610,保定市,122.0,656346.0998000001,428.84969,55.0,375194.88430000003,257.29653,43.0,239569.44589999996,86.24126,24.0,41581.7696,85.3119,0.0,0.0,0.0,0.0,0.0,0.0,74.0,443397.0603,215.8943,44.0,212473.8395,202.73679,4.0,475.20000000000005,10.2186
130611,保定市,106.0,273337.8459,283.27968000000004,57.0,195366.91999999998,159.69935999999998,20.0,39001.893000000004,53.52392000000001,29.0,38969.0329,70.05640000000001,0.0,0.0,0.0,0.0,0.0,0.0,53.0,203136.64730000004,164.05298,53.0,70201.1986,119.22670000000002,0.0,0.0,0.0
130612,保定市,120.0,512573.1312,502.30338499999993,61.0,325450.3,228.07329999999996,39.0,165477.3612,76.71830999999999,20.0,21645.469999999998,197.511775,0.0,0.0,0.0,0.0,0.0,0.0,43.0,114125.84300000002,232.17122,77.0,398447.28819999995,270.132165,0.0,0.0,0.0
130613,保定市,93.0,455529.732,242.15586799999997,62.0,423270.0,197.880198,19.0,24699.8296,30.529669999999996,12.0,7559.902399999999,13.745999999999999,0.0,0.0,0.0,0.0,0.0,0.0,53.0,296594.412,147.77452,40.0,158935.32,94.381348,0.0,0.0,0.0
130614,保定市,106.0,331639.18919999996,187.511314,90.0,321512.0,157.60387399999996,4.0,4130.2812,0.9077399999999999,12.0,5996.908,28.999699999999997,0.0,0.0,0.0,0.0,0.0,0.0,23.0,96970.88,50.40941999999999,79.0,186920.8392,116.700394,4.0,47747.47,20.4015
130615,保定市,152.0,1006237.6405,651.886088,120.0,962261.0,480.00956499999995,10.0,33391.2807,18.99091,22.0,10585.3598,152.885613,0.0,0.0,0.0,0.0,0.0,0.0,50.0,399827.99309999996,112.269497,89.0,462706.6474,459.735714,13.0,143703.0,79.880877
130616,保定市,294.0,605934.8999999999,801.952724,88.0,594045.0,266.779152,5.0,11889.900000000001,10.634599999999999,201.0,0.0,524.538972,0.0,0.0,0.0,0.0,0.0,0.0,31.0,123286.72,75.23159399999999,247.0,248067.18,550.5624499999999,16.0,234581.0,176.15868
130704,张家口市,6.0,9743.86,17.5588,5.0,9743.86,17.489800000000002,0.0,0.0,0.0,1.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.069,5.0,9743.86,17.489800000000002,0.0,0.0,0.0
130707,张家口市,233.0,155854.4805,594.4193,102.0,89306.3805,198.53689999999995,111.0,66548.1,299.25180000000006,18.0,0.0,49.4831,2.0,0.0,47.1475,0.0,0.0,0.0,226.0,129451.6805,565.0699999999999,6.0,25846.949999999997,28.541900000000005,1.0,555.85,0.8074
130708,张家口市,250.0,362902.7334,546.189081,103.0,197403.7505,238.7954,127.0,165498.9829,262.576281,20.0,0.0,44.8174,0.0,0.0,0.0,0.0,0.0,0.0,182.0,199272.2511,312.9673,65.0,152779.4523,223.489281,3.0,10851.029999999999,9.7325
130709,张家口市,143.0,133467.1397,329.3986,56.0,84299.78,117.1422,60.0,49167.35970000001,132.0229,27.0,0.0,80.23349999999999,0.0,0.0,0.0,0.0,0.0,0.0,99.0,89448.8297,154.67369999999997,14.0,10316.84,55.959199999999996,30.0,33701.47,118.76569999999998
130710,张家口市,127.0,211263.92000000004,364.5971,55.0,167277.33000000002,152.6032,48.0,43986.59,110.75229999999999,24.0,0.0,101.2416,0.0,0.0,0.0,0.0,0.0,0.0,77.0,78182.92,151.9076,21.0,94649.08,71.21130000000001,29.0,38431.92,141.47820000000002
130711,张家口市,165.0,164457.87,308.54499999999996,77.0,141000.68,154.34490000000002,56.0,23457.190000000002,64.6787,32.0,0.0,89.5214,0.0,0.0,0.0,0.0,0.0,0.0,101.0,94589.18,146.2853,48.0,54475.89,131.143,16.0,15392.800000000001,31.1167
130712,张家口市,80.0,132523.16,225.265,43.0,122973.91,95.77120000000002,12.0,9549.249999999998,24.901400000000002,25.0,0.0,104.5924,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45990.229999999996,58.12669999999999,42.0,79894.45,156.83589999999998,2.0,6638.48,10.3024
130713,张家口市,138.0,484567.5194,612.323067,79.0,441180.64,192.320745,26.0,43386.8794,124.32079999999999,33.0,0.0,295.681522,0.0,0.0,0.0,0.0,0.0,0.0,63.0,251372.38,163.28741100000002,61.0,98233.74939999999,365.48808,14.0,134961.38999999998,83.547576
130714,张家口市,77.0,175628.47999999998,129.9118,45.0,164113.87,81.95340000000002,21.0,11514.61,32.5447,11.0,0.0,15.4137,0.0,0.0,0.0,0.0,0.0,0.0,40.0,95144.69,62.3193,32.0,67988.34999999999,56.1472,5.0,12495.439999999999,11.4453
130715,张家口市,51.0,158437.6277,126.117025,43.0,156422.9977,109.72649100000001,3.0,2014.63,11.287,5.0,0.0,5.103534,0.0,0.0,0.0,0.0,0.0,0.0,20.0,61317.0576,57.68209099999999,27.0,79152.28289999999,57.582733999999995,4.0,17968.2872,10.8522
130716,张家口市,92.0,182477.23260000002,274.45574000000005,68.0,169757.5148,178.94653499999998,11.0,12719.7178,26.63097,13.0,0.0,68.878235,0.0,0.0,0.0,0.0,0.0,0.0,31.0,56147.1578,81.67876600000002,58.0,120821.0748,180.410074,3.0,5509.0,12.3669
130806,承德市,1.0,900.0,3.4712,0.0,0.0,0.0,1.0,900.0,3.4712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,3.4712,0.0,0.0,0.0,0.0,0.0,0.0
130807,承德市,150.0,86677.23229999999,302.79150000000004,81.0,69422.06769999999,211.096,59.0,17255.164599999996,45.542500000000004,10.0,0.0,46.153,0.0,0.0,0.0,0.0,0.0,0.0,101.0,28829.680899999996,95.9175,27.0,14531.1014,112.2207,22.0,43316.45,94.6533
130808,承德市,151.0,174434.29320000001,460.2961899999999,57.0,143363.11549999999,347.6131,77.0,31071.1777,82.86619,17.0,0.0,29.8169,0.0,0.0,0.0,0.0,0.0,0.0,93.0,25196.579700000002,89.27240000000002,40.0,60216.18749999999,247.74748999999997,18.0,89021.526,123.27629999999999
130809,承德市,121.0,177340.5851,438.556656,34.0,99012.0612,152.710656,63.0,77410.023,149.59539999999998,24.0,918.5009,136.2506,0.0,0.0,0.0,0.0,0.0,0.0,62.0,34960.67370000001,143.67049999999998,31.0,52779.22,131.761356,28.0,89600.6914,163.12480000000002
130810,承德市,93.0,337068.89829999994,362.45537,43.0,302210.16000000003,310.16829999999993,37.0,26233.678299999996,34.06547,13.0,8625.06,18.2216,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11336.7583,18.7581,31.0,198806.91,242.69047000000003,28.0,126925.23,101.00679999999998
130811,承德市,62.0,330005.42,243.46263399999995,37.0,302409.29000000004,187.60829999999996,13.0,20934.19,20.552834,12.0,6661.9400000000005,35.301500000000004,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27543.769999999997,10.722834,37.0,263173.07,171.0505,14.0,39288.579999999994,61.6893
